airline,from,to,day,month,year,age,gender,reason,stay,transit,connection,wait
Aeromar,MTY,GDL,15,4,2019,83,undisclosed,On vacation/Pleasure,Short-term homestay,,True,345
Viva Aerobus,SJC,DEN,2,1,2013,24,male,Business/Work,Home,,True,641
Aeromar,GDL,TPQ,3,6,2014,1,female,On vacation/Pleasure,Home,,True,266
American Airlines,IZT,PVR,31,3,2018,25,unspecified,Back Home,Home,,False,0
Aeromexico,TLC,PDX,7,2,2018,22,male,On vacation/Pleasure,Home,,True,534
Alaska,PVR,DEN,10,1,2021,81,male,On vacation/Pleasure,Hotel,Own car,False,0
American Airlines,IZT,TLC,15,5,2013,11,female,Business/Work,Friend/Family,,True,77
Viva Aerobus,IZT,PDX,20,2,2020,4,female,Back Home,Home,Mobility as a service,False,0
Delta Airlines,MTY,PDX,5,2,2015,90,unspecified,Back Home,Home,,False,0
Delta Airlines,TPQ,LAX,10,5,2018,57,female,Back Home,Home,Car rental,False,0
Volaris,PVR,IZT,18,9,2018,10,female,On vacation/Pleasure,Friend/Family,,True,468
Alaska,MTY,DEN,2,12,2022,62,undisclosed,Business/Work,Hotel,,True,279
Aeromexico,IZT,SJC,1,7,2022,12,undisclosed,On vacation/Pleasure,Home,,True,482
Aeromexico,MTY,PVR,5,1,2013,72,female,Business/Work,Friend/Family,,True,583
American Airlines,DEN,MTY,5,1,2016,17,unspecified,Back Home,Home,Pickup,False,0
Alaska,LAX,DEN,26,11,2019,3,male,On vacation/Pleasure,Home,,True,101
Aeromexico,LAX,DEN,15,12,2018,9,undisclosed,Back Home,Home,,False,0
Lufthansa,TPQ,GDL,22,11,2015,6,male,Business/Work,Friend/Family,,True,174
American Airlines,PDX,SJC,2,12,2016,20,male,Back Home,Home,Airport cab,False,0
Alaska,LAX,MTY,3,10,2013,69,unspecified,Back Home,Home,Mobility as a service,False,0
Aeromexico,JFK,DEN,20,1,2020,59,unspecified,Back Home,Home,,False,0
Volaris,JFK,IZT,8,10,2017,52,unspecified,Back Home,Home,Mobility as a service,False,0
American Airlines,IZT,LAX,7,11,2021,6,female,Business/Work,Friend/Family,Pickup,False,0
Volaris,TLC,PVR,20,4,2016,35,female,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Alaska,PVR,IZT,1,1,2016,33,undisclosed,On vacation/Pleasure,Home,,True,532
American Airlines,TLC,PDX,23,3,2021,40,undisclosed,Business/Work,Short-term homestay,Pickup,False,0
Viva Aerobus,DEN,SJC,11,6,2014,24,undisclosed,On vacation/Pleasure,Home,,True,181
Volaris,JFK,DEN,25,5,2013,75,undisclosed,Back Home,Home,,False,0
American Airlines,SJC,TLC,22,10,2015,25,female,Business/Work,Short-term homestay,,True,416
Delta Airlines,TPQ,IZT,21,5,2016,48,unspecified,Business/Work,Hotel,,True,644
Aeromexico,LAX,MTY,21,10,2014,22,female,Back Home,Home,Mobility as a service,False,0
Lufthansa,DEN,JFK,12,10,2022,81,unspecified,On vacation/Pleasure,Hotel,Public Transportation,False,0
Volaris,TPQ,JFK,17,2,2014,66,undisclosed,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Viva Aerobus,PVR,JFK,24,6,2017,34,undisclosed,On vacation/Pleasure,Hotel,,True,618
Lufthansa,PDX,MTY,11,1,2018,1,male,On vacation/Pleasure,Home,Mobility as a service,False,0
Volaris,LAX,GDL,18,4,2013,55,undisclosed,Back Home,Home,,False,0
American Airlines,JFK,IZT,12,3,2013,64,unspecified,Back Home,Home,Pickup,False,0
Lufthansa,SJC,TLC,25,3,2016,24,female,On vacation/Pleasure,Short-term homestay,Car rental,False,0
Alaska,MTY,TLC,19,12,2020,46,unspecified,Back Home,Home,Pickup,False,0
Volaris,TPQ,PDX,24,8,2014,88,unspecified,On vacation/Pleasure,Home,Pickup,False,0
Delta Airlines,IZT,LAX,27,7,2015,73,undisclosed,Business/Work,Home,Own car,False,0
Aeromexico,GDL,LAX,1,9,2016,81,undisclosed,Back Home,Home,Public Transportation,False,0
Alaska,PDX,JFK,1,5,2017,55,undisclosed,Back Home,Home,Mobility as a service,False,0
Lufthansa,TLC,IZT,14,1,2013,60,unspecified,On vacation/Pleasure,Home,,True,397
American Airlines,DEN,IZT,14,7,2018,66,female,Business/Work,Home,,True,104
Alaska,PVR,JFK,12,8,2017,31,unspecified,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Delta Airlines,IZT,LAX,2,5,2019,51,unspecified,Back Home,Home,Own car,False,0
Viva Aerobus,IZT,SJC,29,3,2022,69,unspecified,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
American Airlines,TPQ,SJC,6,8,2016,4,undisclosed,On vacation/Pleasure,Friend/Family,,True,378
Lufthansa,JFK,GDL,20,12,2019,32,male,Business/Work,Short-term homestay,,True,523
Aeromar,IZT,DEN,10,12,2020,9,undisclosed,Back Home,Home,Public Transportation,False,0
Lufthansa,TLC,JFK,8,7,2013,52,male,On vacation/Pleasure,Hotel,,True,510
Aeromexico,DEN,SJC,23,4,2013,28,male,Back Home,Home,,False,0
American Airlines,SJC,TLC,26,10,2021,34,undisclosed,On vacation/Pleasure,Home,,True,82
Volaris,TLC,MTY,12,7,2021,37,male,On vacation/Pleasure,Friend/Family,,True,351
Aeromar,JFK,MTY,6,4,2017,77,male,Back Home,Home,,False,0
Aeromexico,TLC,IZT,6,11,2014,35,unspecified,Business/Work,Friend/Family,,True,605
Viva Aerobus,JFK,MTY,30,7,2017,49,male,Business/Work,Friend/Family,Public Transportation,False,0
Alaska,PDX,PVR,17,12,2013,25,undisclosed,Back Home,Home,,False,0
Delta Airlines,MTY,TLC,7,9,2015,52,female,On vacation/Pleasure,Hotel,,True,32
Viva Aerobus,MTY,JFK,12,6,2022,52,female,Business/Work,Short-term homestay,Public Transportation,False,0
Aeromar,PVR,LAX,2,1,2022,40,unspecified,Back Home,Home,Airport cab,False,0
Alaska,TPQ,PDX,5,10,2015,57,female,Business/Work,Short-term homestay,,True,496
Alaska,GDL,PVR,12,7,2016,83,unspecified,Business/Work,Short-term homestay,,True,403
Aeromar,LAX,TLC,15,7,2020,57,undisclosed,Business/Work,Hotel,Pickup,False,0
Lufthansa,JFK,GDL,3,1,2016,72,female,Back Home,Home,,False,0
Aeromexico,IZT,TPQ,9,3,2015,21,male,On vacation/Pleasure,Home,,True,407
Viva Aerobus,MTY,IZT,23,10,2022,61,male,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Lufthansa,PDX,DEN,31,5,2017,7,male,On vacation/Pleasure,Friend/Family,,True,88
Alaska,TPQ,MTY,18,3,2015,55,male,Back Home,Home,Airport cab,False,0
Volaris,IZT,LAX,23,5,2018,75,undisclosed,Business/Work,Friend/Family,Mobility as a service,False,0
Aeromar,PVR,MTY,19,4,2015,20,female,On vacation/Pleasure,Hotel,,True,144
Aeromexico,JFK,PVR,10,12,2018,65,male,On vacation/Pleasure,Hotel,Airport cab,False,0
Delta Airlines,IZT,TPQ,4,8,2017,82,undisclosed,Back Home,Home,,False,0
American Airlines,PDX,LAX,21,11,2014,24,undisclosed,Back Home,Home,Mobility as a service,False,0
American Airlines,GDL,JFK,24,10,2022,18,undisclosed,On vacation/Pleasure,Hotel,,True,308
Lufthansa,JFK,TLC,17,3,2023,20,unspecified,Back Home,Home,,False,0
Alaska,SJC,TPQ,2,12,2013,67,unspecified,Back Home,Home,Airport cab,False,0
Lufthansa,MTY,PVR,17,12,2015,67,male,Business/Work,Short-term homestay,Pickup,False,0
Lufthansa,PVR,JFK,31,10,2018,55,unspecified,Back Home,Home,Mobility as a service,False,0
Aeromexico,DEN,LAX,12,1,2019,11,female,Back Home,Home,,False,0
Aeromar,SJC,IZT,6,3,2021,28,undisclosed,Business/Work,Friend/Family,,True,609
Volaris,TPQ,SJC,2,9,2020,55,undisclosed,Business/Work,Home,Pickup,False,0
Aeromar,MTY,JFK,6,8,2016,67,male,Business/Work,Short-term homestay,,True,276
Aeromexico,MTY,LAX,12,1,2021,87,male,Business/Work,Short-term homestay,Car rental,False,0
Aeromexico,DEN,PVR,11,7,2017,45,unspecified,Back Home,Home,,False,0
Alaska,LAX,TPQ,26,5,2017,38,unspecified,On vacation/Pleasure,Hotel,Pickup,False,0
Aeromar,MTY,PDX,8,8,2022,21,female,Back Home,Home,Own car,False,0
American Airlines,LAX,PVR,3,7,2020,43,female,Business/Work,Friend/Family,Car rental,False,0
Alaska,JFK,PVR,3,5,2022,5,unspecified,Back Home,Home,Car rental,False,0
Delta Airlines,DEN,PDX,11,6,2013,11,male,Back Home,Home,Pickup,False,0
Delta Airlines,TPQ,MTY,13,1,2017,78,undisclosed,Back Home,Home,Airport cab,False,0
American Airlines,PVR,SJC,19,4,2022,51,male,Business/Work,Home,Pickup,False,0
Delta Airlines,TLC,PDX,7,12,2018,64,unspecified,Back Home,Home,Airport cab,False,0
Delta Airlines,DEN,TPQ,20,9,2022,13,unspecified,Business/Work,Friend/Family,Mobility as a service,False,0
Volaris,PDX,IZT,31,3,2015,4,male,Business/Work,Home,Airport cab,False,0
American Airlines,GDL,TPQ,18,9,2016,16,female,On vacation/Pleasure,Short-term homestay,,True,295
Aeromar,PDX,JFK,16,10,2022,6,undisclosed,Back Home,Home,Public Transportation,False,0
Lufthansa,PDX,TPQ,26,3,2021,9,female,Business/Work,Hotel,,True,251
Alaska,IZT,SJC,28,5,2015,60,female,On vacation/Pleasure,Friend/Family,,True,594
Aeromar,MTY,LAX,8,4,2020,49,undisclosed,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
American Airlines,DEN,PDX,15,8,2021,75,male,Business/Work,Hotel,Public Transportation,False,0
Viva Aerobus,LAX,MTY,10,1,2020,73,unspecified,Business/Work,Home,Car rental,False,0
Aeromar,TPQ,GDL,26,11,2020,40,undisclosed,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Aeromexico,GDL,TPQ,24,12,2016,64,female,Back Home,Home,Public Transportation,False,0
Alaska,LAX,TPQ,21,11,2020,71,undisclosed,Back Home,Home,,False,0
Viva Aerobus,MTY,PVR,13,6,2013,58,undisclosed,On vacation/Pleasure,Hotel,Airport cab,False,0
American Airlines,PVR,TLC,24,4,2013,64,undisclosed,Back Home,Home,,False,0
Alaska,JFK,LAX,7,1,2019,77,unspecified,On vacation/Pleasure,Short-term homestay,,True,153
Lufthansa,IZT,PDX,18,11,2016,25,unspecified,Back Home,Home,,False,0
Delta Airlines,IZT,JFK,15,1,2019,15,unspecified,Back Home,Home,Own car,False,0
Aeromar,TLC,LAX,19,5,2019,73,female,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Volaris,SJC,JFK,23,4,2022,44,unspecified,Business/Work,Short-term homestay,Pickup,False,0
Volaris,PVR,MTY,22,3,2019,84,female,On vacation/Pleasure,Friend/Family,,True,273
Delta Airlines,JFK,TLC,21,11,2015,28,female,Back Home,Home,,False,0
Aeromexico,DEN,MTY,9,12,2017,70,undisclosed,Business/Work,Home,Car rental,False,0
American Airlines,TPQ,IZT,21,7,2016,22,undisclosed,On vacation/Pleasure,Home,Own car,False,0
Aeromar,LAX,MTY,27,12,2020,89,undisclosed,On vacation/Pleasure,Hotel,,True,590
Delta Airlines,IZT,SJC,30,8,2019,55,male,On vacation/Pleasure,Short-term homestay,Car rental,False,0
Aeromexico,GDL,MTY,31,7,2018,26,undisclosed,On vacation/Pleasure,Short-term homestay,,True,571
Volaris,LAX,MTY,5,8,2021,82,female,On vacation/Pleasure,Hotel,,True,74
Viva Aerobus,SJC,PVR,14,11,2014,12,female,Business/Work,Short-term homestay,,True,492
Alaska,JFK,MTY,23,6,2021,12,undisclosed,Business/Work,Friend/Family,,True,557
Delta Airlines,TPQ,JFK,27,9,2019,14,female,Back Home,Home,,False,0
Lufthansa,GDL,TPQ,18,9,2015,69,male,Business/Work,Friend/Family,,True,363
Aeromar,JFK,SJC,28,12,2016,2,undisclosed,Business/Work,Friend/Family,,True,400
Alaska,SJC,TPQ,26,12,2015,37,male,On vacation/Pleasure,Hotel,Pickup,False,0
Lufthansa,TPQ,LAX,14,9,2021,88,unspecified,On vacation/Pleasure,Home,,True,443
Delta Airlines,SJC,DEN,5,2,2022,6,undisclosed,Business/Work,Friend/Family,Public Transportation,False,0
Delta Airlines,PDX,GDL,12,4,2019,28,unspecified,Business/Work,Friend/Family,,True,87
American Airlines,LAX,MTY,26,11,2021,5,male,Back Home,Home,,False,0
Volaris,JFK,MTY,31,5,2019,66,female,Business/Work,Hotel,Own car,False,0
Delta Airlines,TLC,GDL,16,2,2014,58,undisclosed,Back Home,Home,Own car,False,0
Aeromar,SJC,PVR,18,2,2018,58,male,Back Home,Home,,False,0
Lufthansa,IZT,LAX,13,5,2021,54,male,Business/Work,Home,Pickup,False,0
American Airlines,MTY,DEN,8,8,2013,70,male,Back Home,Home,,False,0
American Airlines,SJC,IZT,12,12,2022,88,unspecified,Business/Work,Hotel,Own car,False,0
Aeromar,PVR,DEN,29,1,2023,83,undisclosed,On vacation/Pleasure,Hotel,,True,167
Lufthansa,GDL,JFK,26,1,2018,44,unspecified,Business/Work,Home,Airport cab,False,0
Aeromexico,LAX,PDX,10,5,2021,72,unspecified,Back Home,Home,,False,0
Aeromexico,LAX,GDL,26,8,2014,22,unspecified,Business/Work,Friend/Family,,True,54
Alaska,DEN,GDL,13,3,2018,24,male,Back Home,Home,Mobility as a service,False,0
Volaris,IZT,PVR,26,8,2018,54,undisclosed,Business/Work,Friend/Family,Public Transportation,False,0
Aeromexico,SJC,JFK,10,7,2022,22,female,Back Home,Home,Airport cab,False,0
American Airlines,IZT,GDL,21,6,2022,2,undisclosed,On vacation/Pleasure,Friend/Family,,True,473
Aeromexico,LAX,TPQ,28,12,2021,38,undisclosed,Back Home,Home,Airport cab,False,0
Lufthansa,PDX,IZT,5,9,2015,56,undisclosed,On vacation/Pleasure,Friend/Family,,True,651
Delta Airlines,SJC,GDL,13,12,2022,2,female,On vacation/Pleasure,Hotel,,True,162
Alaska,LAX,IZT,8,7,2022,57,male,Back Home,Home,Car rental,False,0
Viva Aerobus,TPQ,TLC,9,12,2018,17,male,Back Home,Home,Mobility as a service,False,0
Volaris,TLC,JFK,23,9,2022,23,female,Business/Work,Friend/Family,Airport cab,False,0
Volaris,JFK,TPQ,11,7,2022,45,undisclosed,On vacation/Pleasure,Hotel,Airport cab,False,0
Aeromexico,PDX,SJC,3,10,2020,23,undisclosed,Business/Work,Short-term homestay,,True,530
Alaska,MTY,IZT,24,3,2017,5,undisclosed,Business/Work,Friend/Family,,True,37
Alaska,SJC,LAX,4,12,2022,56,unspecified,On vacation/Pleasure,Hotel,,True,52
Volaris,DEN,PVR,20,7,2013,14,male,Business/Work,Hotel,,True,286
Delta Airlines,GDL,TLC,1,8,2013,63,female,Back Home,Home,Car rental,False,0
Volaris,PVR,DEN,19,1,2021,83,undisclosed,On vacation/Pleasure,Short-term homestay,,True,613
Lufthansa,LAX,DEN,23,4,2014,9,male,Back Home,Home,,False,0
Viva Aerobus,PDX,MTY,10,11,2021,35,female,Back Home,Home,Public Transportation,False,0
Alaska,DEN,GDL,23,9,2018,65,unspecified,Business/Work,Hotel,,True,45
Alaska,SJC,PDX,1,3,2019,2,female,Back Home,Home,,False,0
American Airlines,MTY,GDL,20,10,2014,60,male,Back Home,Home,,False,0
Aeromar,MTY,TPQ,13,3,2016,72,female,Business/Work,Friend/Family,,True,657
Viva Aerobus,TPQ,LAX,21,10,2020,4,female,Back Home,Home,,False,0
Alaska,IZT,JFK,25,10,2014,17,male,Business/Work,Short-term homestay,Airport cab,False,0
Aeromar,PVR,PDX,13,8,2021,37,female,On vacation/Pleasure,Short-term homestay,,True,213
Delta Airlines,MTY,GDL,14,6,2015,39,undisclosed,Back Home,Home,Car rental,False,0
Volaris,DEN,TLC,13,3,2016,60,male,Back Home,Home,Public Transportation,False,0
Delta Airlines,PDX,LAX,21,11,2013,15,female,On vacation/Pleasure,Friend/Family,,True,304
Alaska,IZT,PVR,9,10,2014,79,undisclosed,Back Home,Home,Pickup,False,0
Volaris,PVR,TPQ,9,6,2017,30,male,Back Home,Home,Own car,False,0
Volaris,SJC,JFK,10,5,2022,37,undisclosed,On vacation/Pleasure,Short-term homestay,,True,60
American Airlines,LAX,PVR,13,11,2018,5,undisclosed,On vacation/Pleasure,Friend/Family,Car rental,False,0
Lufthansa,GDL,DEN,7,10,2017,36,unspecified,On vacation/Pleasure,Hotel,Car rental,False,0
Aeromar,SJC,DEN,16,7,2018,3,male,On vacation/Pleasure,Hotel,Car rental,False,0
Aeromar,DEN,TPQ,15,11,2013,80,female,On vacation/Pleasure,Short-term homestay,,True,340
American Airlines,SJC,MTY,10,2,2017,89,undisclosed,Back Home,Home,Airport cab,False,0
Volaris,GDL,MTY,12,2,2022,58,undisclosed,Business/Work,Friend/Family,,True,273
Aeromar,IZT,GDL,6,7,2022,64,female,On vacation/Pleasure,Friend/Family,,True,407
Delta Airlines,LAX,DEN,20,1,2021,54,unspecified,On vacation/Pleasure,Hotel,Airport cab,False,0
Aeromexico,TLC,TPQ,5,3,2021,6,male,Business/Work,Short-term homestay,,True,531
Lufthansa,IZT,JFK,29,4,2014,75,unspecified,On vacation/Pleasure,Home,Car rental,False,0
Lufthansa,DEN,JFK,4,4,2021,8,female,On vacation/Pleasure,Home,,True,598
Volaris,TLC,LAX,5,12,2022,11,female,On vacation/Pleasure,Hotel,,True,639
Lufthansa,TLC,JFK,1,12,2017,32,male,On vacation/Pleasure,Short-term homestay,,True,258
Viva Aerobus,DEN,GDL,8,8,2013,59,undisclosed,Back Home,Home,Car rental,False,0
Aeromar,JFK,MTY,21,7,2016,65,unspecified,Business/Work,Friend/Family,,True,105
Delta Airlines,MTY,PVR,2,2,2016,25,unspecified,On vacation/Pleasure,Hotel,Public Transportation,False,0
Aeromexico,TPQ,MTY,23,10,2017,41,male,Back Home,Home,Pickup,False,0
American Airlines,GDL,TPQ,21,10,2017,51,undisclosed,Business/Work,Home,,True,54
Aeromexico,LAX,GDL,30,3,2017,75,unspecified,Back Home,Home,Public Transportation,False,0
Lufthansa,IZT,PVR,26,12,2018,58,undisclosed,Business/Work,Hotel,Own car,False,0
Viva Aerobus,JFK,SJC,15,11,2020,66,female,Business/Work,Home,,True,674
Delta Airlines,TLC,JFK,16,12,2022,61,undisclosed,Business/Work,Short-term homestay,,True,711
Volaris,TPQ,IZT,8,3,2023,57,undisclosed,On vacation/Pleasure,Hotel,,True,140
Lufthansa,TPQ,TLC,14,11,2014,83,unspecified,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Volaris,IZT,MTY,26,11,2019,51,female,Back Home,Home,,False,0
Viva Aerobus,PDX,GDL,3,3,2020,44,unspecified,Back Home,Home,,False,0
Lufthansa,DEN,MTY,26,3,2013,30,undisclosed,Back Home,Home,,False,0
Aeromexico,JFK,DEN,2,3,2017,17,male,Back Home,Home,,False,0
Aeromexico,MTY,GDL,6,8,2013,43,undisclosed,Back Home,Home,,False,0
American Airlines,IZT,JFK,16,3,2023,44,unspecified,Business/Work,Friend/Family,,True,339
Alaska,DEN,IZT,14,10,2021,10,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Lufthansa,MTY,PDX,25,4,2017,49,female,On vacation/Pleasure,Hotel,,True,513
Alaska,TPQ,JFK,21,6,2017,49,male,On vacation/Pleasure,Hotel,Public Transportation,False,0
Aeromexico,IZT,PDX,20,2,2016,88,unspecified,On vacation/Pleasure,Friend/Family,Car rental,False,0
Volaris,PDX,SJC,6,5,2015,51,female,On vacation/Pleasure,Hotel,,True,463
Aeromexico,PVR,PDX,2,5,2017,14,unspecified,On vacation/Pleasure,Hotel,,True,322
Aeromar,JFK,SJC,23,3,2021,78,unspecified,Back Home,Home,,False,0
Lufthansa,JFK,PVR,17,11,2016,5,undisclosed,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Aeromar,MTY,LAX,26,1,2017,43,undisclosed,Back Home,Home,Car rental,False,0
American Airlines,TLC,IZT,14,6,2018,40,male,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Lufthansa,LAX,TPQ,29,9,2017,35,unspecified,Back Home,Home,Airport cab,False,0
Lufthansa,PDX,JFK,15,3,2016,64,female,Business/Work,Friend/Family,Public Transportation,False,0
American Airlines,DEN,MTY,2,9,2020,71,unspecified,Back Home,Home,Public Transportation,False,0
Aeromar,LAX,DEN,20,8,2017,17,undisclosed,Back Home,Home,,False,0
Volaris,MTY,SJC,30,5,2022,70,male,Business/Work,Short-term homestay,Car rental,False,0
American Airlines,JFK,PVR,22,10,2016,12,undisclosed,Business/Work,Home,,True,573
Delta Airlines,GDL,PDX,22,2,2019,64,male,Back Home,Home,,False,0
Aeromar,GDL,SJC,14,11,2018,3,undisclosed,Business/Work,Home,Airport cab,False,0
Viva Aerobus,DEN,JFK,15,3,2022,86,male,Back Home,Home,,False,0
American Airlines,MTY,GDL,29,11,2016,27,undisclosed,Business/Work,Hotel,Own car,False,0
Aeromexico,TLC,IZT,26,8,2020,68,male,Business/Work,Friend/Family,Pickup,False,0
American Airlines,MTY,JFK,2,9,2016,2,undisclosed,Back Home,Home,,False,0
Viva Aerobus,PVR,SJC,27,9,2021,53,undisclosed,On vacation/Pleasure,Home,,True,356
Alaska,IZT,TLC,26,2,2017,7,unspecified,Business/Work,Short-term homestay,Airport cab,False,0
Delta Airlines,TLC,PVR,28,1,2019,21,male,On vacation/Pleasure,Short-term homestay,,True,228
Viva Aerobus,PDX,DEN,23,10,2019,55,undisclosed,Business/Work,Friend/Family,,True,527
American Airlines,MTY,LAX,2,5,2019,19,unspecified,Business/Work,Home,Pickup,False,0
Aeromar,SJC,TPQ,4,4,2018,44,male,Business/Work,Hotel,Public Transportation,False,0
Lufthansa,LAX,PVR,31,1,2014,65,undisclosed,On vacation/Pleasure,Short-term homestay,,True,642
American Airlines,PVR,SJC,7,9,2019,67,male,Back Home,Home,Pickup,False,0
Viva Aerobus,DEN,JFK,17,1,2016,24,unspecified,Back Home,Home,Airport cab,False,0
Alaska,JFK,PDX,10,5,2019,6,undisclosed,On vacation/Pleasure,Short-term homestay,Car rental,False,0
Lufthansa,TPQ,SJC,9,8,2022,89,unspecified,On vacation/Pleasure,Short-term homestay,,True,385
Lufthansa,LAX,TLC,27,7,2018,57,unspecified,Business/Work,Hotel,,True,308
Alaska,PDX,LAX,12,12,2015,78,female,Business/Work,Hotel,Pickup,False,0
Volaris,SJC,JFK,25,1,2015,48,female,Back Home,Home,Mobility as a service,False,0
Delta Airlines,LAX,TLC,1,6,2017,78,female,Business/Work,Short-term homestay,Car rental,False,0
Aeromar,DEN,PVR,30,1,2014,13,female,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Delta Airlines,TPQ,TLC,19,9,2019,77,undisclosed,Business/Work,Friend/Family,Car rental,False,0
American Airlines,GDL,JFK,2,9,2022,55,male,Business/Work,Friend/Family,,True,240
Viva Aerobus,IZT,TPQ,23,12,2019,29,undisclosed,Business/Work,Friend/Family,,True,56
Delta Airlines,SJC,DEN,29,8,2020,47,male,Back Home,Home,Mobility as a service,False,0
Delta Airlines,IZT,PVR,17,1,2013,50,female,Back Home,Home,,False,0
Delta Airlines,PVR,JFK,10,2,2023,10,male,Business/Work,Friend/Family,,True,185
Lufthansa,DEN,TLC,6,7,2016,5,unspecified,Back Home,Home,,False,0
Lufthansa,DEN,PDX,25,5,2018,68,female,Business/Work,Home,Public Transportation,False,0
American Airlines,LAX,TLC,27,8,2015,54,female,Business/Work,Friend/Family,,True,466
American Airlines,SJC,JFK,10,4,2022,5,undisclosed,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Volaris,PDX,TPQ,7,9,2019,59,male,Back Home,Home,Airport cab,False,0
American Airlines,DEN,MTY,16,3,2019,34,female,Back Home,Home,,False,0
American Airlines,GDL,TPQ,31,3,2017,80,male,Business/Work,Hotel,Car rental,False,0
Aeromar,SJC,IZT,17,6,2017,56,male,Back Home,Home,Own car,False,0
Delta Airlines,TLC,LAX,5,7,2022,48,male,Business/Work,Home,Car rental,False,0
Aeromexico,SJC,TLC,23,9,2018,39,male,On vacation/Pleasure,Home,,True,68
Alaska,TPQ,LAX,31,10,2018,35,undisclosed,Back Home,Home,,False,0
Aeromar,LAX,GDL,13,3,2020,32,unspecified,Business/Work,Short-term homestay,,True,166
Viva Aerobus,JFK,TPQ,15,11,2020,50,female,Business/Work,Home,Airport cab,False,0
American Airlines,PDX,JFK,27,10,2017,54,female,Business/Work,Friend/Family,,True,710
Viva Aerobus,IZT,GDL,13,2,2023,16,female,Business/Work,Home,,True,680
Viva Aerobus,JFK,PVR,2,6,2015,85,female,Business/Work,Short-term homestay,,True,482
Volaris,TPQ,PVR,6,11,2016,74,male,Business/Work,Friend/Family,Airport cab,False,0
Aeromexico,PDX,JFK,16,7,2018,81,undisclosed,On vacation/Pleasure,Home,,True,54
American Airlines,DEN,TPQ,5,7,2018,76,female,Back Home,Home,Own car,False,0
Viva Aerobus,TLC,PDX,13,5,2013,52,unspecified,Back Home,Home,Public Transportation,False,0
Delta Airlines,PVR,IZT,30,10,2022,41,male,On vacation/Pleasure,Friend/Family,Pickup,False,0
Aeromexico,GDL,JFK,16,3,2014,26,undisclosed,Back Home,Home,Mobility as a service,False,0
Delta Airlines,JFK,PDX,17,5,2014,71,female,Back Home,Home,,False,0
Aeromexico,PVR,TLC,29,4,2017,44,unspecified,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Lufthansa,PDX,TPQ,27,7,2013,70,female,On vacation/Pleasure,Short-term homestay,Own car,False,0
Lufthansa,SJC,JFK,19,2,2020,78,unspecified,Back Home,Home,Own car,False,0
Viva Aerobus,TLC,PDX,25,2,2023,5,female,On vacation/Pleasure,Hotel,,True,603
Viva Aerobus,IZT,MTY,29,4,2022,45,male,Back Home,Home,,False,0
Aeromexico,DEN,JFK,16,5,2019,59,undisclosed,On vacation/Pleasure,Short-term homestay,,True,205
Aeromexico,IZT,GDL,6,7,2018,39,male,Back Home,Home,,False,0
Delta Airlines,PVR,TLC,20,2,2017,82,undisclosed,Back Home,Home,Own car,False,0
Delta Airlines,JFK,DEN,24,7,2022,45,male,Business/Work,Home,,True,691
Lufthansa,MTY,SJC,11,9,2016,12,male,On vacation/Pleasure,Home,Pickup,False,0
Lufthansa,TPQ,TLC,22,11,2021,86,unspecified,On vacation/Pleasure,Friend/Family,,True,550
Aeromar,DEN,JFK,22,2,2014,28,unspecified,Business/Work,Short-term homestay,,True,551
American Airlines,MTY,PDX,19,12,2022,86,male,Business/Work,Friend/Family,,True,533
Aeromexico,PDX,LAX,23,2,2018,13,female,Business/Work,Home,Car rental,False,0
Aeromexico,JFK,GDL,6,8,2016,76,female,Business/Work,Home,,True,462
Aeromexico,PDX,DEN,28,12,2018,76,male,Back Home,Home,Car rental,False,0
Alaska,MTY,SJC,4,1,2014,72,male,On vacation/Pleasure,Friend/Family,,True,610
Alaska,LAX,GDL,29,4,2016,18,unspecified,Business/Work,Short-term homestay,Own car,False,0
Alaska,GDL,IZT,9,7,2021,85,unspecified,On vacation/Pleasure,Friend/Family,Car rental,False,0
Aeromexico,TLC,JFK,22,8,2018,51,male,Back Home,Home,Mobility as a service,False,0
American Airlines,LAX,MTY,30,9,2016,43,undisclosed,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Alaska,LAX,PDX,19,8,2021,24,male,Back Home,Home,Mobility as a service,False,0
Viva Aerobus,MTY,IZT,10,12,2015,71,female,Back Home,Home,Own car,False,0
Aeromar,SJC,PVR,27,9,2015,57,undisclosed,Back Home,Home,Mobility as a service,False,0
Alaska,LAX,GDL,18,4,2020,13,male,Back Home,Home,,False,0
Alaska,MTY,LAX,2,8,2014,22,unspecified,Back Home,Home,,False,0
